model_id,chain,parameter,chain_effective_sample_size
BVAR-HOM-final-chain3,3,sv_sigma2__TTF_ret,0
BVAR-HOM-final-chain3,3,sv_sigma2__Brent_ret,0
BVAR-HOM-final-chain3,3,sv_sigma2__Power_ret,0
BVAR-HOM-final-chain3,3,sv_sigma2__CPI_yoy_change,0
BVAR-HOM-final-chain3,3,sv_sigma2__IP_growth,0
BVAR-HOM-final-chain3,3,sv_sigma2__Bund2Y_change,0
BVAR-HOM-final-chain3,3,sv_sigma2__CISS_change,0
BVAR-HOM-final-chain3,3,sv_sigma2__GreenEquity_relative,0
BVAR-HOM-final-chain3,3,sv_sigma2__GreenBond_relative,0
BVAR-HOM-final-chain3,3,cholesky_U_1,2351.780377758279
BVAR-HOM-final-chain3,3,cholesky_U_2,1372.2909629627243
BVAR-HOM-final-chain3,3,cholesky_U_3,1227.6216715368394
BVAR-HOM-final-chain3,3,cholesky_U_4,3730.5463069963885
BVAR-HOM-final-chain3,3,cholesky_U_5,341.6512503535593
BVAR-HOM-final-chain3,3,cholesky_U_6,5707.842329128481
BVAR-HOM-final-chain3,3,cholesky_U_7,5766.2144689531415
BVAR-HOM-final-chain3,3,cholesky_U_8,2848.1262237854785
BVAR-HOM-final-chain3,3,cholesky_U_9,1869.7725683199512
BVAR-HOM-final-chain3,3,cholesky_U_10,7285.651961809589
BVAR-SV-final-chain1,1,own_lag1__EUA_ret,4506.8556166584995
BVAR-SV-final-chain1,1,own_lag1__TTF_ret,3314.41378018457
BVAR-SV-final-chain1,1,own_lag1__Brent_ret,2436.931530070523
BVAR-SV-final-chain1,1,own_lag1__Power_ret,1003.2894554790939
BVAR-SV-final-chain1,1,own_lag1__CPI_yoy_change,979.8094172812206
BVAR-SV-final-chain1,1,own_lag1__IP_growth,1685.7975808387491
BVAR-SV-final-chain1,1,own_lag1__Bund2Y_change,2551.8860726596695
BVAR-SV-final-chain1,1,own_lag1__CISS_change,1558.4891668242708
BVAR-SV-final-chain1,1,own_lag1__GreenEquity_relative,3647.149515002012
BVAR-SV-final-chain1,1,own_lag1__GreenBond_relative,3766.9157285400242
BVAR-SV-final-chain1,1,lag1__EUA_ret__to__GreenEquity_relative,9144.197986953377
BVAR-SV-final-chain1,1,lag1__TTF_ret__to__GreenEquity_relative,5864.086540446036
BVAR-SV-final-chain1,1,lag1__Brent_ret__to__GreenEquity_relative,7211.321896934522
BVAR-SV-final-chain1,1,lag1__Power_ret__to__GreenEquity_relative,6731.471730397552
BVAR-SV-final-chain1,1,lag1__CPI_yoy_change__to__GreenEquity_relative,5098.467538585804
BVAR-SV-final-chain1,1,lag1__IP_growth__to__GreenEquity_relative,7177.988874359283
BVAR-SV-final-chain1,1,lag1__Bund2Y_change__to__GreenEquity_relative,5536.4067704150675
BVAR-SV-final-chain1,1,lag1__CISS_change__to__GreenEquity_relative,5774.315572000753
BVAR-SV-final-chain1,1,intercept__GreenEquity_relative,3620.7566055477714
BVAR-SV-final-chain1,1,lag1__EUA_ret__to__GreenBond_relative,4078.3199637835132
BVAR-SV-final-chain1,1,lag1__TTF_ret__to__GreenBond_relative,2115.7858314084456
BVAR-SV-final-chain1,1,lag1__Brent_ret__to__GreenBond_relative,6329.035308204825
BVAR-SV-final-chain1,1,lag1__Power_ret__to__GreenBond_relative,2475.1144829363648
BVAR-SV-final-chain1,1,lag1__CPI_yoy_change__to__GreenBond_relative,5151.736912594284
BVAR-SV-final-chain1,1,lag1__IP_growth__to__GreenBond_relative,5025.371250314699
BVAR-SV-final-chain1,1,lag1__Bund2Y_change__to__GreenBond_relative,1415.1571888307906
BVAR-SV-final-chain1,1,lag1__CISS_change__to__GreenBond_relative,3839.0380706148094
BVAR-SV-final-chain1,1,intercept__GreenBond_relative,3235.380978092467
BVAR-SV-final-chain1,1,sv_mu__EUA_ret,2121.14813388318
BVAR-SV-final-chain1,1,sv_mu__TTF_ret,2918.9120047247525
BVAR-SV-final-chain1,1,sv_mu__Brent_ret,2227.6456573360515
BVAR-SV-final-chain1,1,sv_mu__Power_ret,3256.430817405434
BVAR-SV-final-chain1,1,sv_mu__CPI_yoy_change,3740.1563679843703
BVAR-SV-final-chain1,1,sv_mu__IP_growth,3356.5575326716425
