parameter,mean,sd,rhat,ess_bulk,ess_tail,mcse_mean,model_group,rhat_pass,bulk_ess_pass,tail_ess_pass
own_lag1__CISS_change,-0.19080252824075086,0.07752994387620553,1.0002096838089751,5417.071946398626,4439.029768606355,0.0010485817856949848,BVAR-SV-final,TRUE,TRUE,TRUE
own_lag1__GreenEquity_relative,0.07193368981096755,0.08024270656676442,1.0002857687093902,11557.391494428177,19906.55406054609,7.46723284928153e-4,BVAR-SV-final,TRUE,TRUE,TRUE
own_lag1__GreenBond_relative,0.053618994586246325,0.07945802213653082,1.0000940473929714,11166.878353287608,19283.465727022805,7.522442016649804e-4,BVAR-SV-final,TRUE,TRUE,TRUE
lag1__EUA_ret__to__GreenEquity_relative,-4.6292405562274765e-4,0.01058815790732678,1.037699459200929,26180.86258945759,8068.555492178026,6.606036043197311e-5,BVAR-SV-final,FALSE,TRUE,TRUE
lag1__TTF_ret__to__GreenEquity_relative,-0.0012326419613843816,0.006748894689815477,1.023331459510683,20745.356529613084,6780.12972355318,5.406589236156895e-5,BVAR-SV-final,FALSE,TRUE,TRUE
lag1__Brent_ret__to__GreenEquity_relative,-0.0015954811569338135,0.010325948585670796,1.0266220745780499,16854.47438863165,6474.663306564506,8.623088896455642e-5,BVAR-SV-final,FALSE,TRUE,TRUE
lag1__Power_ret__to__GreenEquity_relative,-0.006701440776549737,0.026226639180026417,1.0191970878520384,10354.418918602305,6247.467678020839,2.853822661254548e-4,BVAR-SV-final,FALSE,TRUE,TRUE
lag1__CPI_yoy_change__to__GreenEquity_relative,0.07458488021991391,0.3584329171782974,1.023724303535624,11537.337737442165,5555.3786573707375,0.0036895069928400822,BVAR-SV-final,FALSE,TRUE,TRUE
lag1__IP_growth__to__GreenEquity_relative,-0.005237959577641679,0.05025310693317294,1.0331751726485214,23722.657207884655,6423.551989608704,3.32661395660467e-4,BVAR-SV-final,FALSE,TRUE,TRUE
lag1__Bund2Y_change__to__GreenEquity_relative,-0.13197158951054563,0.6721827069205794,1.0261053859155802,14251.83193800922,5913.664384066525,0.006187971284819117,BVAR-SV-final,FALSE,TRUE,TRUE
lag1__CISS_change__to__GreenEquity_relative,-0.0040031030013884875,0.013697401758702916,1.0189656853437796,7624.246710925238,5796.640010041844,1.769699570424865e-4,BVAR-SV-final,FALSE,TRUE,TRUE
intercept__GreenEquity_relative,0.004556948702074447,0.004346405014892294,1.0001766969515877,9653.61361983321,16817.702111858285,4.4253700599316406e-5,BVAR-SV-final,TRUE,TRUE,TRUE
lag1__EUA_ret__to__GreenBond_relative,-1.4121434136233593e-4,4.6062468848889553e-4,1.0177270926298803,6506.175660946574,6554.44958381563,6.4784821239869665e-6,BVAR-SV-final,FALSE,TRUE,TRUE
lag1__TTF_ret__to__GreenBond_relative,-1.7319573191245218e-4,2.7170146449523856e-4,1.008545374373046,539.830840100328,6757.343787228108,1.122374735012493e-5,BVAR-SV-final,TRUE,FALSE,TRUE
lag1__Brent_ret__to__GreenBond_relative,-8.703697314318821e-5,4.14075709502533e-4,1.0222341289171881,16846.926366234526,8236.643840684668,3.2973995102854985e-6,BVAR-SV-final,FALSE,TRUE,TRUE
lag1__Power_ret__to__GreenBond_relative,-6.79324472909472e-4,0.001037759686468893,1.0075766633303276,744.8916047160776,7745.935035832604,3.899382291795107e-5,BVAR-SV-final,TRUE,FALSE,TRUE
lag1__CPI_yoy_change__to__GreenBond_relative,-0.00390730205506314,0.013827480862198668,1.0156794401166163,10269.654500199711,8354.105314003995,1.4559912142149826e-4,BVAR-SV-final,FALSE,TRUE,TRUE
lag1__IP_growth__to__GreenBond_relative,-4.299149397056302e-4,0.0018240453552861525,1.017112751593015,12546.225168289828,9056.117164512485,1.6627887702325484e-5,BVAR-SV-final,FALSE,TRUE,TRUE
lag1__Bund2Y_change__to__GreenBond_relative,-0.019929465374829657,0.031239328888666863,1.0077513233284716,696.1813477403255,3723.534047762555,0.0012425967179543653,BVAR-SV-final,TRUE,FALSE,TRUE
lag1__CISS_change__to__GreenBond_relative,-2.19462652834317e-4,6.073811662264695e-4,1.0119240650322532,3927.3407957060303,5850.281751685019,1.059484541168142e-5,BVAR-SV-final,FALSE,TRUE,TRUE
intercept__GreenBond_relative,8.187520284972372e-5,1.055356111934869e-4,1.0010040883827354,9232.930784079534,18380.67042894324,1.0983240109832778e-6,BVAR-SV-final,TRUE,TRUE,TRUE
sv_mu__EUA_ret,-4.7010251402656795,0.394875400178866,1.0012606645830848,5316.197611310865,8995.852512162983,0.005023882736863658,BVAR-SV-final,TRUE,TRUE,TRUE
sv_mu__TTF_ret,-3.846593490071034,1.1080718712877524,1.0002829717066661,9116.405112474524,8215.07628280736,0.011406572097572908,BVAR-SV-final,TRUE,TRUE,TRUE
sv_mu__Brent_ret,-4.830076759754065,0.3839493170849567,1.0005014904028031,5802.356731824674,7894.07248650898,0.004813067686790051,BVAR-SV-final,TRUE,TRUE,TRUE
sv_mu__Power_ret,-6.522125283309197,0.6128875677487109,1.0001809107641906,9754.128980060425,10358.285633570307,0.006181172398252285,BVAR-SV-final,TRUE,TRUE,TRUE
sv_mu__CPI_yoy_change,-11.763784062613167,0.7448831215403567,1.0006548162073385,9350.719983089391,9514.127455587102,0.007237292627234134,BVAR-SV-final,TRUE,TRUE,TRUE
sv_mu__IP_growth,-9.224299362436057,0.71286536358152,1.000355493180219,10228.126733566522,8797.616769107972,0.006803150064703612,BVAR-SV-final,TRUE,TRUE,TRUE
sv_mu__Bund2Y_change,-13.790185053653108,1.6758586222819911,1.000091894855316,8481.728403780922,6173.238556153908,0.01698197099535919,BVAR-SV-final,TRUE,TRUE,TRUE
sv_mu__CISS_change,-6.60915159652629,1.2147275080296323,1.001149536139543,2832.228045255483,1375.8398956171905,0.029822460269261802,BVAR-SV-final,TRUE,TRUE,TRUE
sv_mu__GreenEquity_relative,-5.845073094471018,0.6516768518462662,1.0000806584009534,6486.741256258878,9509.934043706582,0.006632051890073301,BVAR-SV-final,TRUE,TRUE,TRUE
